/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth165e084 = 10000"
"netBandwidth.veth165e084 = 12500000"
"netFullDuplex.veth165e084 = full"
"netSpeed.veth476bbe7 = 10000"
"netBandwidth.veth476bbe7 = 12500000"
"netFullDuplex.veth476bbe7 = full"
"netSpeed.veth71caa76 = 10000"
"netBandwidth.veth71caa76 = 12500000"
"netFullDuplex.veth71caa76 = full"
"netSpeed.veth9720a50 = 10000"
"netBandwidth.veth9720a50 = 12500000"
"netFullDuplex.veth9720a50 = full"
"netSpeed.vetha7962eb = 10000"
"netBandwidth.vetha7962eb = 12500000"
"netFullDuplex.vetha7962eb = full"
"netSpeed.vethb741a0c = 10000"
"netBandwidth.vethb741a0c = 12500000"
"netFullDuplex.vethb741a0c = full"
"netSpeed.vethd8d6539 = 10000"
"netBandwidth.vethd8d6539 = 12500000"
"netFullDuplex.vethd8d6539 = full"
"netSpeed.vethfb15e38 = 10000"
"netBandwidth.vethfb15e38 = 12500000"
"netFullDuplex.vethfb15e38 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth165e084,veth476bbe7,veth71caa76,veth9720a50,vetha7962eb,vethb741a0c,vethd8d6539,vethfb15e38,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 06:24:52 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth165e084",,"net/veth476bbe7",,"net/veth71caa76",,"net/veth9720a50",,"net/vetha7962eb",,"net/vethb741a0c",,"net/vethd8d6539",,"net/vethfb15e38",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556198704.689,3.758,2.224,93.924,0.0,0.0,0.094,198.0,5907.0,5278.0,2553.0,0.0,126.0,5248.0,2364.0,0.0,126.0,5314.0,2460.0,0.0,126.0,0.0,126.0,0.0,126.0,28716.0,25383.0,0.0,0.0,0.0,0.0,0.0,905216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,7473319936.0,1668132864.0,10681204736.0,80124952576.0,0.0,0.0
1556198705.689,1.689,0.688,97.498,0.031,0.0,0.094,43271.0,66380.0,41613.0,18894.0,10361.0,17712.0,4941.0,15431.0,4993.0,1659.0,5136.0,15445.0,35501.0,10233.0,0.0,42.0,0.0,42.0,210851.0,194096.0,0.0,442368.0,0.0,0.0,0.0,704512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,41.0,0.0,0.0,7424577536.0,1668132864.0,10681262080.0,80173637632.0,0.0,0.0
1556198706.688,5.877,5.245,88.689,0.095,0.0,0.095,309.0,350.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,4468.0,0.0,0.0,0.0,0.0,0.0,3244032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,7480709120.0,1668132864.0,10681696256.0,80117071872.0,0.0,0.0
1556198707.689,72.872,9.466,17.630,0.0,0.0,0.032,618.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,4388.0,0.0,0.0,0.0,0.0,0.0,462848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,8314920960.0,1668132864.0,10700447744.0,79264108544.0,0.0,0.0
1556198708.689,89.676,6.327,3.997,0.0,0.0,0.0,618.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,618.0,4488.0,0.0,81920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8206647296.0,1668132864.0,10738311168.0,79334518784.0,0.0,0.0
1556198709.689,76.723,6.412,16.864,0.0,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,3046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7766077440.0,1668132864.0,10784518144.0,79728881664.0,0.0,0.0
1556198710.689,38.915,3.280,57.774,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,140.0,1058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7757582336.0,1668132864.0,10811101184.0,79710793728.0,0.0,0.0
1556198711.689,14.433,2.348,83.156,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0,0.0,16384.0,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,8801263616.0,1668132864.0,10882048000.0,78596165632.0,0.0,0.0
1556198712.689,7.325,4.676,87.656,0.094,0.0,0.249,927.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3494.0,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,4583424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,7470301184.0,1668132864.0,10734989312.0,80074186752.0,0.0,0.0
1556198713.689,14.101,4.869,81.031,0.0,0.0,0.0,618.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84467440737e+19,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,1380352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,7566991360.0,1668132864.0,10700873728.0,80011612160.0,0.0,0.0
1556198714.689,14.786,4.334,80.848,0.032,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,222.0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7562043392.0,1668132864.0,10736267264.0,79981166592.0,0.0,0.0
1556198715.689,7.433,5.071,87.213,0.094,0.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6852608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,7491883008.0,1668132864.0,10800549888.0,79987044352.0,0.0,0.0
1556198716.689,7.375,6.650,85.503,0.158,0.0,0.315,66.0,1975.0,0.0,42.0,0.0,42.0,0.0,42.0,0.0,42.0,5177.0,2376.0,0.0,42.0,0.0,42.0,0.0,42.0,9476.0,8363.0,0.0,0.0,0.0,0.0,0.0,8835072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,7607123968.0,1668132864.0,10751152128.0,79921201152.0,0.0,0.0
1556198717.689,3.013,1.695,95.041,0.0,0.0,0.251,25188.0,19199.0,8260.0,14523.0,8331.0,14656.0,8396.0,14521.0,343.0,1601.0,3087.0,12190.0,35387.0,10382.0,0.0,213.0,0.0,213.0,114060.0,125581.0,0.0,466944.0,0.0,0.0,0.0,483328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,43.0,0.0,0.0,7537844224.0,1668132864.0,10751438848.0,79990194176.0,0.0,0.0
1556198718.689,6.088,4.890,88.770,0.095,0.0,0.158,18634.0,51703.0,38806.0,7111.0,2064.0,3517.0,2063.0,3451.0,4650.0,336.0,2060.0,3518.0,0.0,107.0,0.0,107.0,0.0,107.0,117150.0,91587.0,0.0,0.0,0.0,0.0,0.0,3923968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,7619764224.0,1668132864.0,10751787008.0,79907926016.0,0.0,0.0
1556198719.689,65.309,8.689,25.907,0.0,0.0,0.095,309.0,152.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,107.0,309.0,5933.0,0.0,0.0,0.0,0.0,0.0,765952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,8452800512.0,1668132864.0,10766118912.0,79060557824.0,0.0,0.0
1556198720.689,91.556,5.860,2.583,0.0,0.0,0.0,927.0,456.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,5936.0,0.0,90112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8430247936.0,1668132864.0,10801889280.0,79047340032.0,0.0,0.0
1556198721.689,78.836,6.809,14.354,0.0,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,3168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7958548480.0,1668132864.0,10849308672.0,79471620096.0,0.0,0.0
1556198722.689,41.084,3.749,54.726,0.284,0.0,0.158,0.0,0.0,42.0,42.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,1649.0,0.0,0.0,0.0,0.0,0.0,57561088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9140.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,7778131968.0,1668132864.0,10877992960.0,79623352320.0,0.0,0.0
1556198723.689,16.943,2.443,80.426,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,0.0,16384.0,0.0,0.0,0.0,49115136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,112.0,0.0,0.0,8798044160.0,1668132864.0,10905628672.0,78575804416.0,0.0,0.0
1556198724.689,7.236,3.930,88.210,0.031,0.0,0.593,618.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,2983.0,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,3653632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,7561809920.0,1668132864.0,10823258112.0,79894409216.0,0.0,0.0
1556198725.689,10.731,4.812,84.236,0.032,0.0,0.190,927.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84467440737e+19,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,1843200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,7645446144.0,1668132864.0,10761957376.0,79872073728.0,0.0,0.0
1556198726.689,14.926,4.670,80.372,0.032,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,432.0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7642427392.0,1668132864.0,10795302912.0,79841746944.0,0.0,0.0
1556198727.689,10.069,5.664,84.172,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19570688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,7601123328.0,1668132864.0,10904584192.0,79773769728.0,0.0,0.0
1556198728.689,5.401,5.527,88.471,0.379,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,28954624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,7591546880.0,1668132864.0,10822754304.0,79865176064.0,0.0,0.0
1556198729.689,5.455,4.420,89.843,0.031,0.0,0.251,198.0,5939.0,5159.0,2433.0,5327.0,2556.0,0.0,126.0,0.0,126.0,5328.0,2556.0,0.0,126.0,0.0,126.0,0.0,126.0,28890.0,26365.0,0.0,24576.0,0.0,0.0,0.0,1728512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,212.0,0.0,0.0,7658942464.0,1668132864.0,10821541888.0,79798992896.0,0.0,0.0
1556198730.689,1.221,0.469,98.247,0.031,0.0,0.031,23989.0,15228.0,3077.0,11981.0,3009.0,12102.0,8202.0,14410.0,0.0,42.0,3074.0,11981.0,35644.0,10098.0,0.0,42.0,0.0,42.0,93228.0,105339.0,0.0,540672.0,0.0,0.0,0.0,155648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,13.0,0.0,0.0,7612866560.0,1668132864.0,10821644288.0,79844966400.0,0.0,0.0
1556198731.689,0.125,0.219,99.656,0.0,0.0,0.0,309.0,152.0,66.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,66.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,573.0,2615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7612608512.0,1668132864.0,10821685248.0,79845183488.0,0.0,0.0
