/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth089fd56 = 10000"
"netBandwidth.veth089fd56 = 12500000"
"netFullDuplex.veth089fd56 = full"
"netSpeed.veth4cdc7c7 = 10000"
"netBandwidth.veth4cdc7c7 = 12500000"
"netFullDuplex.veth4cdc7c7 = full"
"netSpeed.veth5ac9023 = 10000"
"netBandwidth.veth5ac9023 = 12500000"
"netFullDuplex.veth5ac9023 = full"
"netSpeed.veth80425ff = 10000"
"netBandwidth.veth80425ff = 12500000"
"netFullDuplex.veth80425ff = full"
"netSpeed.veth8518d0d = 10000"
"netBandwidth.veth8518d0d = 12500000"
"netFullDuplex.veth8518d0d = full"
"netSpeed.veth976ff36 = 10000"
"netBandwidth.veth976ff36 = 12500000"
"netFullDuplex.veth976ff36 = full"
"netSpeed.vethb13f83f = 10000"
"netBandwidth.vethb13f83f = 12500000"
"netFullDuplex.vethb13f83f = full"
"netSpeed.vethb65a4e5 = 10000"
"netBandwidth.vethb65a4e5 = 12500000"
"netFullDuplex.vethb65a4e5 = full"
"netSpeed.vethbf54e26 = 10000"
"netBandwidth.vethbf54e26 = 12500000"
"netFullDuplex.vethbf54e26 = full"
"netSpeed.vethdd763d2 = 10000"
"netBandwidth.vethdd763d2 = 12500000"
"netFullDuplex.vethdd763d2 = full"
"netSpeed.vethe8a6377 = 10000"
"netBandwidth.vethe8a6377 = 12500000"
"netFullDuplex.vethe8a6377 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth089fd56,veth4cdc7c7,veth5ac9023,veth80425ff,veth8518d0d,veth976ff36,vethb13f83f,vethb65a4e5,vethbf54e26,vethdd763d2,vethe8a6377,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 07:21:25 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth089fd56",,"net/veth4cdc7c7",,"net/veth5ac9023",,"net/veth80425ff",,"net/veth8518d0d",,"net/veth976ff36",,"net/vethb13f83f",,"net/vethb65a4e5",,"net/vethbf54e26",,"net/vethdd763d2",,"net/vethe8a6377",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556202408.851,53.019,4.268,41.796,0.285,0.0,0.632,6182231.0,3714371.0,1981137.0,6541453.0,1251051.0,6086559.0,0.0,0.0,2513101.0,6994777.0,0.0,0.0,0.0,0.0,1121879.0,6409799.0,0.0,0.0,22561364.0,3527330.0,0.0,0.0,0.0,0.0,40244015.0,42460902.0,0.0,116379648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18494.0,0.0,0.0,0.0,0.0,0.0,0.0,9074216960.0,1668706304.0,20870553600.0,68334133248.0,0.0,0.0
1556202409.851,54.469,4.625,39.688,0.531,0.0,0.688,5072515.0,3728360.0,1825507.0,6736491.0,1702129.0,6460817.0,0.0,0.0,2185271.0,6570497.0,0.0,0.0,0.0,0.0,1571677.0,6588811.0,0.0,0.0,22415230.0,2213740.0,0.0,0.0,0.0,0.0,39563852.0,40761873.0,0.0,237051904.0,0.0,0.0,0.0,53444608.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,9308.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21888.0,0.0,0.0,0.0,104.0,0.0,0.0,9080860672.0,1668706304.0,21015318528.0,68182724608.0,0.0,0.0
1556202410.852,58.085,5.549,35.130,0.476,0.0,0.761,9209871.0,5678150.0,2411335.0,5789416.0,3338363.0,6185722.0,0.0,0.0,2693570.0,6536848.0,0.0,0.0,0.0,0.0,3250378.0,6338424.0,0.0,0.0,18116134.0,4185992.0,0.0,0.0,0.0,0.0,46545332.0,49711476.0,0.0,247816192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19778.0,0.0,0.0,0.0,0.0,0.0,0.0,9098416128.0,1668706304.0,21097066496.0,68083421184.0,0.0,0.0
1556202411.852,53.793,3.951,41.182,0.316,0.0,0.759,7289671.0,4733860.0,1871278.0,6929081.0,2814620.0,6932804.0,0.0,0.0,2271344.0,7235670.0,0.0,0.0,0.0,0.0,2527377.0,7161118.0,0.0,0.0,23022931.0,3409277.0,0.0,0.0,0.0,0.0,45935054.0,48197437.0,0.0,115392512.0,0.0,0.0,0.0,106496.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18820.0,0.0,0.0,0.0,8.0,0.0,0.0,9098940416.0,1668706304.0,20954148864.0,68225814528.0,0.0,0.0
1556202412.851,57.025,4.736,37.095,0.254,0.0,0.890,10057851.0,5819251.0,3170901.0,7466827.0,2659367.0,6692402.0,0.0,0.0,3490974.0,7036497.0,0.0,0.0,0.0,0.0,2540418.0,6660226.0,0.0,0.0,21170118.0,4957352.0,0.0,0.0,0.0,0.0,50704311.0,54532256.0,0.0,93876224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16234.0,0.0,0.0,0.0,0.0,0.0,0.0,9110274048.0,1668706304.0,20988833792.0,68179795968.0,0.0,0.0
1556202413.851,53.239,4.171,41.675,0.284,0.0,0.632,4916982.0,3723709.0,1584219.0,6543178.0,1816403.0,6659703.0,0.0,0.0,2063814.0,7045320.0,0.0,0.0,0.0,0.0,1711880.0,6777931.0,0.0,0.0,23408399.0,2278636.0,0.0,0.0,0.0,0.0,40253975.0,41197925.0,0.0,96935936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17155.0,0.0,0.0,0.0,0.0,0.0,0.0,9121337344.0,1668706304.0,21014736896.0,68142829568.0,0.0,0.0
1556202414.851,52.686,3.729,42.699,0.253,0.0,0.632,4065348.0,3220920.0,1156980.0,6775324.0,1673775.0,6525546.0,0.0,0.0,1524675.0,6555481.0,0.0,0.0,0.0,0.0,1553817.0,6850564.0,0.0,0.0,23658810.0,1942221.0,0.0,0.0,0.0,0.0,37629645.0,38426637.0,0.0,98418688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17445.0,0.0,0.0,0.0,0.0,0.0,0.0,9128517632.0,1668706304.0,21044551680.0,68105834496.0,0.0,0.0
1556202415.851,56.343,4.006,38.601,0.254,0.0,0.795,8527714.0,5128834.0,1125884.0,5854279.0,3969093.0,6957282.0,0.0,0.0,1471058.0,6563565.0,0.0,0.0,0.0,0.0,3764519.0,6687157.0,0.0,0.0,20178040.0,4005029.0,0.0,0.0,0.0,0.0,45676947.0,48712581.0,0.0,91213824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15866.0,0.0,0.0,0.0,0.0,0.0,0.0,9148125184.0,1668706304.0,21073367040.0,68057411584.0,0.0,0.0
1556202416.851,54.382,4.823,39.723,0.284,0.0,0.788,8200662.0,5315269.0,1204493.0,6801067.0,4103772.0,6909204.0,0.0,0.0,1704414.0,6655599.0,0.0,0.0,0.0,0.0,3987018.0,6926526.0,0.0,0.0,21187425.0,3728220.0,0.0,0.0,0.0,0.0,47389115.0,50028541.0,0.0,125681664.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17788.0,0.0,0.0,0.0,3.0,0.0,0.0,9167486976.0,1668706304.0,21127168000.0,67984248832.0,0.0,0.0
1556202417.852,54.407,4.036,40.620,0.420,0.0,0.517,4371696.0,3478029.0,1307254.0,6575974.0,1756469.0,6160367.0,0.0,0.0,1567734.0,6362907.0,0.0,0.0,0.0,0.0,1698509.0,6031237.0,0.0,0.0,22140705.0,2242293.0,0.0,0.0,0.0,0.0,37196631.0,37926698.0,0.0,166899712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20360.0,0.0,0.0,0.0,0.0,0.0,0.0,9179119616.0,1668706304.0,21215076352.0,67884707840.0,0.0,0.0
1556202418.851,53.327,3.974,41.880,0.284,0.0,0.536,3449297.0,2683457.0,1286038.0,5810718.0,942435.0,6389002.0,0.0,0.0,1668916.0,6866373.0,0.0,0.0,0.0,0.0,855684.0,6231937.0,0.0,0.0,23078125.0,1885068.0,0.0,0.0,0.0,0.0,34573888.0,35225408.0,0.0,139649024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19524.0,0.0,0.0,0.0,0.0,0.0,0.0,9186816000.0,1668706304.0,21180256256.0,67911831552.0,0.0,0.0
1556202419.851,55.112,4.179,39.759,0.443,0.0,0.506,5626996.0,3710716.0,2242098.0,6567882.0,1259425.0,6108969.0,0.0,0.0,2483502.0,6786615.0,0.0,0.0,0.0,0.0,1122045.0,6090911.0,0.0,0.0,21809016.0,2870092.0,0.0,0.0,0.0,0.0,39253801.0,40958219.0,0.0,173891584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19851.0,0.0,0.0,0.0,0.0,0.0,0.0,9208496128.0,1668706304.0,21274058752.0,67796348928.0,0.0,0.0
1556202420.851,55.246,5.198,38.384,0.539,0.0,0.634,7227682.0,4395020.0,2385488.0,6503171.0,1919332.0,6079802.0,0.0,0.0,2630143.0,6677742.0,0.0,0.0,0.0,0.0,1830192.0,6568589.0,0.0,0.0,21002109.0,3630430.0,0.0,0.0,0.0,0.0,42703019.0,45264825.0,0.0,255057920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22381.0,0.0,0.0,0.0,0.0,0.0,0.0,9260978176.0,1668706304.0,21334720512.0,67683205120.0,0.0,0.0
1556202421.851,57.111,4.239,37.677,0.440,0.0,0.534,6101049.0,3747587.0,1236680.0,6700133.0,2357332.0,6827421.0,0.0,0.0,1582100.0,6655880.0,0.0,0.0,0.0,0.0,2126464.0,6310707.0,0.0,0.0,22485504.0,3115896.0,0.0,0.0,0.0,0.0,40679916.0,42828289.0,0.0,181309440.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21023.0,0.0,0.0,0.0,3.0,0.0,0.0,9330995200.0,1668706304.0,21244448768.0,67703459840.0,0.0,0.0
1556202422.851,57.492,4.476,37.079,0.286,0.0,0.667,8522823.0,5272115.0,1350408.0,6420562.0,3603960.0,6238236.0,0.0,0.0,1756892.0,6049916.0,0.0,0.0,0.0,0.0,3783793.0,6524767.0,0.0,0.0,19683235.0,4359628.0,0.0,0.0,0.0,0.0,45513329.0,48412664.0,0.0,99467264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16498.0,0.0,0.0,0.0,0.0,0.0,0.0,9416765440.0,1668706304.0,21268938752.0,67593199616.0,0.0,0.0
1556202423.851,53.751,3.624,41.767,0.286,0.0,0.572,6191267.0,4068774.0,2000966.0,6436544.0,1796244.0,6312618.0,0.0,0.0,2384641.0,7329998.0,0.0,0.0,0.0,0.0,1711109.0,6477527.0,0.0,0.0,22256778.0,3012452.0,0.0,0.0,0.0,0.0,41541339.0,43449338.0,0.0,112001024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18950.0,0.0,0.0,0.0,0.0,0.0,0.0,9433243648.0,1668706304.0,21296803840.0,67548856320.0,0.0,0.0
1556202424.851,55.498,3.762,39.968,0.289,0.0,0.482,6257685.0,3942660.0,1829858.0,6617700.0,1913258.0,6253685.0,0.0,0.0,2197788.0,6503566.0,0.0,0.0,0.0,0.0,1779690.0,6862623.0,0.0,0.0,22063372.0,3089627.0,0.0,0.0,0.0,0.0,41112190.0,43103945.0,0.0,100630528.0,0.0,0.0,0.0,46407680.0,0.0,0.0,0.0,372.0,0.0,0.0,0.0,7064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17021.0,0.0,0.0,0.0,91.0,0.0,0.0,9458413568.0,1668706304.0,21319942144.0,67500548096.0,0.0,0.0
1556202425.851,54.441,4.136,40.590,0.256,0.0,0.577,7842240.0,4465570.0,2147537.0,6681139.0,2133539.0,7119624.0,0.0,0.0,2496741.0,6940295.0,0.0,0.0,0.0,0.0,2099184.0,6982950.0,0.0,0.0,22505311.0,3956834.0,0.0,0.0,0.0,0.0,45012531.0,48169646.0,0.0,99315712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17302.0,0.0,0.0,0.0,0.0,0.0,0.0,9486086144.0,1668706304.0,21351038976.0,67441778688.0,0.0,0.0
1556202426.852,57.061,4.062,37.734,0.254,0.0,0.889,6723020.0,4071148.0,1772200.0,6029487.0,2114488.0,6207179.0,0.0,0.0,2149763.0,6841485.0,0.0,0.0,0.0,0.0,2122595.0,6540820.0,0.0,0.0,21075507.0,3352286.0,0.0,0.0,0.0,0.0,41252283.0,43650289.0,0.0,106246144.0,0.0,0.0,0.0,86016.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16975.0,0.0,0.0,0.0,8.0,0.0,0.0,9526181888.0,1668706304.0,21392756736.0,67359965184.0,0.0,0.0
1556202427.852,58.859,4.659,35.404,0.412,0.0,0.666,7928943.0,4876272.0,2306665.0,6341017.0,2500942.0,6069199.0,0.0,0.0,2618608.0,6293650.0,0.0,0.0,0.0,0.0,2259904.0,6203232.0,0.0,0.0,19473350.0,3875087.0,0.0,0.0,0.0,0.0,43443581.0,46198446.0,0.0,171626496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19111.0,0.0,0.0,0.0,0.0,0.0,0.0,9650200576.0,1668706304.0,21481951232.0,67146752000.0,0.0,0.0
1556202428.852,59.848,5.170,33.619,0.254,0.0,1.110,13248094.0,7590119.0,2313249.0,5952773.0,5590899.0,6909315.0,0.0,0.0,2736221.0,6806414.0,0.0,0.0,0.0,0.0,5490836.0,6884261.0,0.0,0.0,17021210.0,6031755.0,0.0,0.0,0.0,0.0,56545434.0,61746394.0,0.0,153358336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17655.0,0.0,0.0,0.0,0.0,0.0,0.0,9683501056.0,1668706304.0,21466959872.0,67128442880.0,0.0,0.0
1556202429.851,61.049,5.087,32.782,0.413,0.0,0.668,9725565.0,5774391.0,2617198.0,6556668.0,3306440.0,6322569.0,0.0,0.0,2828699.0,6293485.0,0.0,0.0,0.0,0.0,3300225.0,5700400.0,0.0,0.0,17906065.0,4430418.0,0.0,0.0,0.0,0.0,47366500.0,50867346.0,0.0,157663232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17470.0,0.0,0.0,0.0,0.0,0.0,0.0,9713213440.0,1668706304.0,21548343296.0,67017347072.0,0.0,0.0
1556202430.851,55.803,4.266,38.959,0.282,0.0,0.690,7489730.0,4541542.0,2228201.0,6599711.0,2208358.0,6582916.0,0.0,0.0,2642502.0,7115029.0,0.0,0.0,0.0,0.0,1978949.0,6871949.0,0.0,0.0,22034481.0,3639469.0,0.0,0.0,0.0,0.0,44467620.0,47121745.0,0.0,129716224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18737.0,0.0,0.0,0.0,0.0,0.0,0.0,9724649472.0,1668706304.0,21503750144.0,67050504192.0,0.0,0.0
1556202431.851,60.275,4.567,33.938,0.500,0.0,0.719,6978533.0,4406191.0,2089483.0,6355099.0,2158928.0,6086308.0,0.0,0.0,2418711.0,6384363.0,0.0,0.0,0.0,0.0,2189915.0,6295674.0,0.0,0.0,20124257.0,3243101.0,0.0,0.0,0.0,0.0,41675887.0,43983718.0,0.0,216489984.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19803.0,0.0,0.0,0.0,3.0,0.0,0.0,9761628160.0,1668706304.0,21631508480.0,66885767168.0,0.0,0.0
1556202432.851,61.677,5.452,31.645,0.355,0.0,0.871,12711693.0,7250479.0,3120933.0,6130778.0,4674356.0,6340314.0,0.0,0.0,3364005.0,6424474.0,0.0,0.0,0.0,0.0,4310093.0,6325857.0,0.0,0.0,16101948.0,5745756.0,0.0,0.0,0.0,0.0,53945307.0,58901516.0,0.0,183025664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17423.0,0.0,0.0,0.0,0.0,0.0,0.0,9798963200.0,1668706304.0,21544964096.0,66934976512.0,0.0,0.0
1556202433.851,60.814,4.580,33.683,0.223,0.0,0.700,10158565.0,5404715.0,3449423.0,6706359.0,2181726.0,5555560.0,0.0,0.0,3758113.0,6497074.0,0.0,0.0,0.0,0.0,1678626.0,5962030.0,0.0,0.0,18393650.0,5159234.0,0.0,0.0,0.0,0.0,46665291.0,50971053.0,0.0,87904256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15112.0,0.0,0.0,0.0,0.0,0.0,0.0,9837146112.0,1668706304.0,21575413760.0,66866343936.0,0.0,0.0
1556202434.851,65.423,5.500,27.855,0.225,0.0,0.997,17725423.0,9121932.0,7033936.0,7038993.0,2639765.0,6275787.0,0.0,0.0,7840047.0,8123324.0,0.0,0.0,0.0,0.0,2405000.0,6175726.0,0.0,0.0,15386936.0,8098136.0,0.0,0.0,0.0,0.0,65249706.0,73052141.0,0.0,73469952.0,0.0,0.0,0.0,43630592.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,6096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12274.0,0.0,0.0,0.0,82.0,0.0,0.0,9849769984.0,1668706304.0,21603246080.0,66825887744.0,0.0,0.0
1556202435.851,59.156,4.997,34.885,0.217,0.0,0.745,8862907.0,6390635.0,3833417.0,6765273.0,2024093.0,6161285.0,0.0,0.0,5050636.0,7425704.0,0.0,0.0,0.0,0.0,1889706.0,6003924.0,0.0,0.0,20033942.0,4329826.0,0.0,0.0,0.0,0.0,49980704.0,52141807.0,0.0,92168192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16083.0,0.0,0.0,0.0,0.0,0.0,0.0,9844408320.0,1668706304.0,21636911104.0,66797584384.0,0.0,0.0
1556202436.851,55.563,4.019,39.550,0.257,0.0,0.611,4918208.0,3282222.0,1432657.0,6356781.0,1444371.0,6203440.0,0.0,0.0,1819163.0,6135012.0,0.0,0.0,0.0,0.0,1325163.0,6038158.0,0.0,0.0,21726779.0,2721797.0,0.0,0.0,0.0,0.0,36741194.0,38187336.0,0.0,95522816.0,0.0,0.0,0.0,86016.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16828.0,0.0,0.0,0.0,8.0,0.0,0.0,9845846016.0,1668706304.0,21664944128.0,66768113664.0,0.0,0.0
1556202437.851,60.834,3.980,34.302,0.253,0.0,0.632,8459079.0,4649761.0,3113373.0,6547043.0,1486555.0,5952574.0,0.0,0.0,3292292.0,6900499.0,0.0,0.0,0.0,0.0,1372095.0,6098855.0,0.0,0.0,20370351.0,4555338.0,0.0,0.0,0.0,0.0,44105215.0,47559223.0,0.0,92971008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16312.0,0.0,0.0,0.0,0.0,0.0,0.0,9849122816.0,1668706304.0,21693153280.0,66736627712.0,0.0,0.0
1556202438.851,58.580,5.079,35.331,0.315,0.0,0.694,7039538.0,4293307.0,2956137.0,6055554.0,1374637.0,6363517.0,0.0,0.0,2874277.0,7054332.0,0.0,0.0,0.0,0.0,1251316.0,6672016.0,0.0,0.0,21654596.0,3666573.0,0.0,0.0,0.0,0.0,42710871.0,45170210.0,0.0,112484352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17690.0,0.0,0.0,0.0,0.0,0.0,0.0,9852801024.0,1668706304.0,21735866368.0,66690236416.0,0.0,0.0
1556202439.851,58.103,3.901,37.012,0.381,0.0,0.603,4853906.0,4171610.0,2206148.0,6917254.0,1818942.0,6397969.0,0.0,0.0,2460409.0,6625234.0,0.0,0.0,0.0,0.0,1671792.0,6011484.0,0.0,0.0,21585185.0,1792619.0,0.0,0.0,0.0,0.0,39979274.0,40522243.0,0.0,174972928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19356.0,0.0,0.0,0.0,0.0,0.0,0.0,9854320640.0,1668706304.0,21837217792.0,66587365376.0,0.0,0.0
1556202440.852,58.039,4.161,36.665,0.441,0.0,0.694,5103645.0,3136171.0,920240.0,5424930.0,1917213.0,5966063.0,0.0,0.0,1382261.0,6920219.0,0.0,0.0,0.0,0.0,1825884.0,6124926.0,0.0,0.0,21173619.0,2660055.0,0.0,0.0,0.0,0.0,36305929.0,38092271.0,0.0,192102400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19954.0,0.0,0.0,0.0,0.0,0.0,0.0,9856655360.0,1668706304.0,21844279296.0,66577969152.0,0.0,0.0
1556202441.851,57.851,4.800,36.332,0.413,0.0,0.604,6103003.0,4950617.0,3025252.0,6432334.0,1937557.0,6186300.0,0.0,0.0,3439491.0,6011965.0,0.0,0.0,0.0,0.0,1724571.0,5814336.0,0.0,0.0,18929603.0,2127763.0,0.0,0.0,0.0,0.0,41635597.0,42606424.0,0.0,153931776.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18780.0,0.0,0.0,0.0,3.0,0.0,0.0,9856102400.0,1668706304.0,21821181952.0,66601619456.0,0.0,0.0
1556202442.851,60.183,5.296,33.386,0.410,0.0,0.725,9399547.0,4971107.0,1418876.0,6147930.0,3438132.0,6506765.0,0.0,0.0,1464497.0,6397927.0,0.0,0.0,0.0,0.0,3660543.0,6831526.0,0.0,0.0,20506772.0,5331134.0,0.0,0.0,0.0,0.0,46348411.0,50373494.0,0.0,204423168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18961.0,0.0,0.0,0.0,0.0,0.0,0.0,9855610880.0,1668706304.0,21951090688.0,66472202240.0,0.0,0.0
1556202443.852,60.262,4.604,34.015,0.384,0.0,0.735,8035947.0,4654349.0,2505943.0,6128562.0,2196133.0,6110347.0,0.0,0.0,2822878.0,6347813.0,0.0,0.0,0.0,0.0,2039042.0,5609311.0,0.0,0.0,18849471.0,4088867.0,0.0,0.0,0.0,0.0,42614609.0,45668503.0,0.0,178753536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18522.0,0.0,0.0,0.0,0.0,0.0,0.0,9864208384.0,1668706304.0,21954629632.0,66460065792.0,0.0,0.0
1556202444.852,56.119,3.792,39.388,0.255,0.0,0.446,5855239.0,3958612.0,195705.0,6085789.0,3375637.0,6618872.0,0.0,0.0,558802.0,6099480.0,0.0,0.0,0.0,0.0,3454203.0,6292648.0,0.0,0.0,21148224.0,2919732.0,0.0,0.0,0.0,0.0,39625505.0,41268510.0,0.0,102961152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17025.0,0.0,0.0,0.0,0.0,0.0,0.0,9857478656.0,1668706304.0,21889314816.0,66532110336.0,0.0,0.0
1556202445.851,57.359,4.106,37.745,0.253,0.0,0.537,5746889.0,4660834.0,583710.0,5810662.0,3838977.0,6108043.0,0.0,0.0,1085535.0,6450914.0,0.0,0.0,0.0,0.0,3790650.0,6727283.0,0.0,0.0,20228051.0,2146872.0,0.0,0.0,0.0,0.0,41243166.0,42144052.0,0.0,87519232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15535.0,0.0,0.0,0.0,0.0,0.0,0.0,9854005248.0,1668706304.0,21920182272.0,66504716288.0,0.0,0.0
