/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth055d58e = 10000"
"netBandwidth.veth055d58e = 12500000"
"netFullDuplex.veth055d58e = full"
"netSpeed.veth4b7cb34 = 10000"
"netBandwidth.veth4b7cb34 = 12500000"
"netFullDuplex.veth4b7cb34 = full"
"netSpeed.veth53069cd = 10000"
"netBandwidth.veth53069cd = 12500000"
"netFullDuplex.veth53069cd = full"
"netSpeed.veth7851a61 = 10000"
"netBandwidth.veth7851a61 = 12500000"
"netFullDuplex.veth7851a61 = full"
"netSpeed.veth824b048 = 10000"
"netBandwidth.veth824b048 = 12500000"
"netFullDuplex.veth824b048 = full"
"netSpeed.vethdd8a625 = 10000"
"netBandwidth.vethdd8a625 = 12500000"
"netFullDuplex.vethdd8a625 = full"
"netSpeed.vethf30bd02 = 10000"
"netBandwidth.vethf30bd02 = 12500000"
"netFullDuplex.vethf30bd02 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth055d58e,veth4b7cb34,veth53069cd,veth7851a61,veth824b048,vethdd8a625,vethf30bd02,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 10:11:18 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth055d58e",,"net/veth4b7cb34",,"net/veth53069cd",,"net/veth7851a61",,"net/veth824b048",,"net/vethdd8a625",,"net/vethf30bd02",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556212289.070,7.129,6.129,86.241,0.219,0.0,0.281,132.0,3962.0,0.0,84.0,0.0,84.0,5313.0,2509.0,0.0,84.0,0.0,84.0,5114.0,2483.0,0.0,84.0,19193.0,16949.0,0.0,0.0,0.0,52428800.0,0.0,9199616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,574.0,0.0,0.0,7394742272.0,1671593984.0,10649427968.0,80231845888.0,0.0,0.0
1556212290.070,3.927,2.545,93.214,0.031,0.0,0.283,22847.0,15212.0,2122.0,8783.0,0.0,84.0,2214.0,3358.0,0.0,84.0,7430.0,5787.0,2281.0,3410.0,7460.0,5649.0,63092.0,73102.0,0.0,0.0,0.0,50331648.0,0.0,880640.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,400.0,0.0,109.0,0.0,0.0,7417417728.0,1671593984.0,10648813568.0,80209784832.0,0.0,0.0
1556212291.070,2.831,2.422,93.583,1.070,0.0,0.094,20537.0,53753.0,33276.0,1292.0,4993.0,1617.0,3025.0,12005.0,0.0,0.0,39530.0,15455.0,2951.0,12059.0,2856.0,12059.0,158139.0,131392.0,0.0,282624.0,0.0,52707328.0,0.0,93007872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,452.0,0.0,667.0,0.0,0.0,7446183936.0,1671675904.0,10648928256.0,80180822016.0,0.0,0.0
1556212292.070,22.078,6.036,71.665,0.032,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4097.0,0.0,0.0,0.0,52428800.0,0.0,868352.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,52.0,0.0,0.0,7820275712.0,1671675904.0,10650472448.0,79805186048.0,0.0,0.0
1556212293.070,87.472,8.204,4.323,0.0,0.0,0.0,1545.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.0,4398.0,0.0,0.0,0.0,52486144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,8419688448.0,1671675904.0,10678956032.0,79177289728.0,0.0,0.0
1556212294.070,87.706,6.163,6.131,0.0,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,4681.0,0.0,0.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,8055869440.0,1671675904.0,10723008512.0,79497056256.0,0.0,0.0
1556212295.070,62.747,5.704,31.453,0.032,0.0,0.064,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1650.0,0.0,139264.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,400.0,0.0,0.0,0.0,0.0,7595827200.0,1671675904.0,10764255232.0,79915851776.0,0.0,0.0
1556212296.070,29.126,3.038,67.585,0.063,0.0,0.188,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,607.0,0.0,28672.0,0.0,50352128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,405.0,0.0,0.0,0.0,0.0,8045568000.0,1671684096.0,10779455488.0,79450902528.0,0.0,0.0
1556212297.070,12.332,2.754,84.601,0.063,0.0,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.0,0.0,0.0,0.0,52428800.0,0.0,3031040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,29.0,0.0,0.0,8555175936.0,1671684096.0,10862387200.0,78858362880.0,0.0,0.0
1556212298.070,7.695,4.604,87.133,0.063,0.0,0.505,1545.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.0,1.84467440737e+19,0.0,0.0,0.0,52428800.0,0.0,2576384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,182.0,0.0,0.0,7497449472.0,1671684096.0,10688176128.0,80090300416.0,0.0,0.0
1556212299.070,14.313,4.898,80.693,0.095,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,399.0,0.0,0.0,0.0,52428800.0,0.0,745472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,31.0,0.0,0.0,7562752000.0,1671684096.0,10679463936.0,80033710080.0,0.0,0.0
1556212300.070,13.938,4.741,81.258,0.032,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40960.0,0.0,52428800.0,0.0,962560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,400.0,0.0,44.0,0.0,0.0,7536726016.0,1671684096.0,10729246720.0,80009953280.0,0.0,0.0
1556212301.069,6.885,5.596,87.080,0.189,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52453376.0,0.0,8028160.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,410.0,0.0,0.0,7516344320.0,1671692288.0,10766872576.0,79992700928.0,0.0,0.0
1556212302.070,6.728,5.275,87.587,0.126,0.0,0.284,132.0,3916.0,0.0,84.0,0.0,84.0,0.0,84.0,0.0,84.0,5271.0,2415.0,0.0,84.0,5142.0,2347.0,18903.0,17131.0,0.0,24576.0,0.0,50331648.0,0.0,6569984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,384.0,0.0,427.0,0.0,0.0,7564226560.0,1671692288.0,10719330304.0,79992360960.0,0.0,0.0
1556212303.070,2.905,2.249,94.627,0.125,0.0,0.094,43216.0,68717.0,35378.0,10185.0,4993.0,1701.0,10480.0,17800.0,0.0,84.0,41826.0,19195.0,10323.0,17897.0,5282.0,15352.0,221315.0,202966.0,0.0,192512.0,0.0,50630656.0,0.0,2297856.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,469.0,0.0,109.0,0.0,0.0,7575293952.0,1671798784.0,10719014912.0,79981502464.0,0.0,0.0
1556212304.070,18.040,6.141,75.533,0.064,0.0,0.223,618.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,3915.0,0.0,0.0,0.0,52428800.0,0.0,2457600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,303.0,0.0,0.0,7848529920.0,1671798784.0,10720206848.0,79707074560.0,0.0,0.0
1556212305.070,88.263,8.035,3.701,0.0,0.0,0.0,618.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,5999.0,0.0,0.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,8600014848.0,1671798784.0,10746863616.0,78928932864.0,0.0,0.0
1556212306.070,86.980,6.732,6.288,0.0,0.0,0.0,1204.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204.0,5337.0,0.0,0.0,0.0,52486144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,8049446912.0,1671798784.0,10793144320.0,79433220096.0,0.0,0.0
1556212307.070,66.306,5.149,28.512,0.032,0.0,0.0,831.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,901.0,2294.0,0.0,0.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,7721390080.0,1671798784.0,10834034688.0,79720386560.0,0.0,0.0
1556212308.070,28.941,3.720,67.245,0.032,0.0,0.063,262.0,130.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,42.0,472.0,1651.0,0.0,0.0,0.0,52191232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,0.0,0.0,0.0,8103129088.0,1671806976.0,10848763904.0,79323910144.0,0.0,0.0
1556212309.070,13.503,2.663,83.709,0.063,0.0,0.063,260.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,1197.0,0.0,20480.0,0.0,50593792.0,0.0,3010560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,384.0,0.0,24.0,0.0,0.0,8661307392.0,1671806976.0,10937872384.0,78676623360.0,0.0,0.0
1556212310.070,6.384,3.679,89.403,0.063,0.0,0.472,1677.0,1322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1677.0,1.84467440737e+19,0.0,16384.0,0.0,52428800.0,0.0,1490944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,400.0,0.0,156.0,0.0,0.0,7579676672.0,1671806976.0,10772287488.0,79923838976.0,0.0,0.0
1556212311.070,12.397,4.895,81.500,1.144,0.0,0.064,831.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.0,921.0,0.0,0.0,0.0,52428800.0,0.0,95498240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,372.0,0.0,0.0,7674769408.0,1671806976.0,10742673408.0,79858360320.0,0.0,0.0
1556212312.070,14.132,5.217,80.620,0.032,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,247.0,0.0,0.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,7675887616.0,1671806976.0,10791563264.0,79808352256.0,0.0,0.0
1556212313.070,8.495,5.361,85.486,0.188,0.0,0.470,196.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,372.0,0.0,0.0,0.0,52461568.0,0.0,6901760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,0.0,324.0,0.0,0.0,7597453312.0,1671815168.0,10854940672.0,79823400960.0,0.0,0.0
1556212314.070,6.591,6.402,86.408,0.158,0.0,0.442,66.0,1956.0,0.0,42.0,0.0,42.0,0.0,42.0,0.0,42.0,5159.0,2350.0,0.0,42.0,0.0,42.0,9413.0,8667.0,0.0,0.0,0.0,52428800.0,0.0,8474624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,553.0,0.0,0.0,7671508992.0,1671815168.0,10789793792.0,79814492160.0,0.0,0.0
1556212315.070,2.858,1.665,95.352,0.063,0.0,0.063,23516.0,19066.0,35699.0,10391.0,0.0,126.0,8428.0,14517.0,0.0,126.0,3141.0,12064.0,8398.0,14303.0,8400.0,14612.0,112473.0,121157.0,0.0,262144.0,0.0,50597888.0,0.0,471040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,461.0,0.0,37.0,0.0,0.0,7648342016.0,1671901184.0,10789167104.0,79838199808.0,0.0,0.0
1556212316.070,0.156,0.250,99.593,0.0,0.0,0.0,1236.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0,3323.0,0.0,0.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,7648178176.0,1671901184.0,10789318656.0,79838212096.0,0.0,0.0
1556212317.070,0.094,0.250,99.656,0.0,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,3362.0,0.0,0.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,7647793152.0,1671901184.0,10789322752.0,79838593024.0,0.0,0.0
1556212318.070,0.094,0.188,99.718,0.0,0.0,0.0,586.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,1447.0,0.0,0.0,0.0,52490240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,7646363648.0,1671901184.0,10789322752.0,79840022528.0,0.0,0.0
1556212319.070,0.063,0.188,99.750,0.0,0.0,0.0,784.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,1150.0,0.0,0.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,7644618752.0,1671901184.0,10789322752.0,79841767424.0,0.0,0.0
