/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth13de826 = 10000"
"netBandwidth.veth13de826 = 12500000"
"netFullDuplex.veth13de826 = full"
"netSpeed.veth38325a0 = 10000"
"netBandwidth.veth38325a0 = 12500000"
"netFullDuplex.veth38325a0 = full"
"netSpeed.veth42cc391 = 10000"
"netBandwidth.veth42cc391 = 12500000"
"netFullDuplex.veth42cc391 = full"
"netSpeed.veth612f114 = 10000"
"netBandwidth.veth612f114 = 12500000"
"netFullDuplex.veth612f114 = full"
"netSpeed.veth644385e = 10000"
"netBandwidth.veth644385e = 12500000"
"netFullDuplex.veth644385e = full"
"netSpeed.vethae0ebe9 = 10000"
"netBandwidth.vethae0ebe9 = 12500000"
"netFullDuplex.vethae0ebe9 = full"
"netSpeed.vethced9ff4 = 10000"
"netBandwidth.vethced9ff4 = 12500000"
"netFullDuplex.vethced9ff4 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth13de826,veth38325a0,veth42cc391,veth612f114,veth644385e,vethae0ebe9,vethced9ff4,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 03:01:50 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth13de826",,"net/veth38325a0",,"net/veth42cc391",,"net/veth612f114",,"net/veth644385e",,"net/vethae0ebe9",,"net/vethced9ff4",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556186519.269,14.793,4.815,80.393,0.0,0.0,0.0,899.0,3486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,3766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7248678912.0,1667272704.0,10629898240.0,80401760256.0,0.0,0.0
1556186520.270,12.149,5.080,82.518,0.032,0.0,0.221,526.0,3074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,3074.0,0.0,0.0,0.0,0.0,0.0,1822720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,7222235136.0,1667272704.0,10737623040.0,80320479232.0,0.0,0.0
1556186521.270,5.797,5.986,87.650,0.347,0.0,0.221,326.0,3334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,3334.0,0.0,241664.0,0.0,0.0,0.0,29114368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,59.0,0.0,0.0,0.0,839.0,0.0,0.0,7218307072.0,1667272704.0,10641899520.0,80420130816.0,0.0,0.0
1556186522.270,4.762,3.540,90.821,0.627,0.0,0.251,658.0,6038.0,0.0,126.0,0.0,126.0,0.0,126.0,5181.0,2526.0,5144.0,2364.0,0.0,126.0,5180.0,2432.0,28787.0,25135.0,0.0,16384.0,0.0,0.0,0.0,91934720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,365.0,0.0,0.0,7269363712.0,1667272704.0,10641846272.0,80369127424.0,0.0,0.0
1556186523.270,1.002,0.626,98.341,0.0,0.0,0.031,23239.0,18628.0,2057.0,8677.0,0.0,42.0,7492.0,5621.0,2310.0,3303.0,2377.0,3303.0,0.0,42.0,2149.0,3315.0,54222.0,69684.0,0.0,0.0,0.0,0.0,0.0,151552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,7221547008.0,1667272704.0,10642006016.0,80416784384.0,0.0,0.0
1556186524.270,4.279,3.367,92.133,0.063,0.0,0.157,20553.0,53718.0,33354.0,1358.0,4993.0,1617.0,2988.0,11998.0,2884.0,12129.0,39459.0,15591.0,0.0,0.0,3082.0,11999.0,158373.0,132163.0,0.0,516096.0,0.0,0.0,0.0,3735552.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,320.0,0.0,0.0,7298994176.0,1667272704.0,10642300928.0,80339042304.0,0.0,0.0
1556186525.270,44.360,7.340,48.141,0.0,0.0,0.159,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,3315.0,0.0,0.0,0.0,0.0,0.0,1019904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,7815221248.0,1667272704.0,10653810688.0,79811305472.0,0.0,0.0
1556186526.269,91.226,6.478,2.296,0.0,0.0,0.0,927.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,4413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8255356928.0,1667272704.0,10684379136.0,79340601344.0,0.0,0.0
1556186527.270,83.194,6.298,10.508,0.0,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,42.0,0.0,0.0,42.0,42.0,519.0,4434.0,0.0,0.0,0.0,0.0,0.0,192512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7655288832.0,1667272704.0,10732929024.0,79892119552.0,0.0,0.0
1556186528.270,53.099,4.537,42.364,0.0,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7443775488.0,1667272704.0,10763808768.0,80072753152.0,0.0,0.0
1556186529.270,20.815,2.571,76.552,0.0,0.0,0.063,846.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.0,1575.0,0.0,16384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8251604992.0,1667272704.0,10793189376.0,79235543040.0,0.0,0.0
1556186530.270,9.737,3.694,85.911,0.094,0.0,0.564,880.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3135.0,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,3473408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,7264858112.0,1667272704.0,10712641536.0,80302837760.0,0.0,0.0
1556186531.270,10.588,5.437,83.752,0.032,0.0,0.191,1123.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84467440737e+19,1.84467440737e+19,0.0,98304.0,0.0,0.0,0.0,2027520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,157.0,0.0,0.0,7424827392.0,1667272704.0,10652467200.0,80203042816.0,0.0,0.0
1556186532.270,15.078,4.048,80.873,0.0,0.0,0.0,635.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7418785792.0,1667272704.0,10688184320.0,80173367296.0,0.0,0.0
1556186533.270,10.513,5.788,83.511,0.031,0.0,0.156,782.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0,1584.0,0.0,0.0,0.0,0.0,4096.0,2093056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,0.0,0.0,7376793600.0,1667276800.0,10786852864.0,80116686848.0,0.0,0.0
1556186534.270,5.994,5.836,87.823,0.189,0.0,0.158,262.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,374.0,0.0,0.0,0.0,0.0,0.0,12443648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,0.0,7425941504.0,1667276800.0,10712088576.0,80142303232.0,0.0,0.0
1556186535.270,5.501,3.332,90.820,0.031,0.0,0.314,22552.0,19151.0,2122.0,8928.0,0.0,168.0,7625.0,5838.0,7455.0,5761.0,7358.0,5854.0,0.0,168.0,7654.0,5774.0,82154.0,89595.0,0.0,45056.0,0.0,0.0,0.0,1495040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,181.0,0.0,0.0,7392239616.0,1667276800.0,10712166400.0,80175927296.0,0.0,0.0
1556186536.270,5.057,4.523,90.138,0.063,0.0,0.220,21411.0,55293.0,33322.0,1439.0,4993.0,1613.0,2869.0,12060.0,2964.0,12060.0,39610.0,15800.0,0.0,0.0,2868.0,12060.0,158866.0,133316.0,0.0,512000.0,0.0,0.0,0.0,3649536.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,348.0,0.0,0.0,7519379456.0,1667276800.0,10712485888.0,80048467968.0,0.0,0.0
1556186537.270,40.481,7.337,52.056,0.0,0.0,0.127,927.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,5318.0,0.0,0.0,0.0,0.0,0.0,749568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,8183705600.0,1667276800.0,10718728192.0,79377899520.0,0.0,0.0
1556186538.270,92.351,5.949,1.700,0.0,0.0,0.0,814.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,5081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8360484864.0,1667276800.0,10755584000.0,79164264448.0,0.0,0.0
1556186539.270,84.363,6.146,9.490,0.0,0.0,0.0,701.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.0,4114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7726452736.0,1667276800.0,10801278976.0,79752601600.0,0.0,0.0
1556186540.270,53.220,4.861,41.856,0.0,0.0,0.063,895.0,1984.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,3863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7635816448.0,1667276800.0,10834284544.0,79810232320.0,0.0,0.0
1556186541.270,21.977,2.645,75.220,0.031,0.0,0.126,392.0,740.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,2056.0,0.0,53248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8361496576.0,1667276800.0,10844102656.0,79074734080.0,0.0,0.0
1556186542.270,9.264,3.556,86.806,0.031,0.0,0.343,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,3092480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,7428755456.0,1667276800.0,10783186944.0,80068390912.0,0.0,0.0
1556186543.270,8.275,4.756,86.684,0.063,0.0,0.222,1545.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.0,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,2879488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,7573057536.0,1667276800.0,10715971584.0,79991304192.0,0.0,0.0
1556186544.270,15.043,3.904,81.054,0.0,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7565033472.0,1667276800.0,10747781120.0,79967518720.0,0.0,0.0
1556186545.270,13.165,5.165,81.638,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7536545792.0,1667276800.0,10835034112.0,79908753408.0,0.0,0.0
1556186546.270,4.981,4.574,90.038,0.219,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11190272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,7491846144.0,1667276800.0,10816749568.0,79971737600.0,0.0,0.0
1556186547.270,5.215,5.938,86.396,2.293,0.0,0.157,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,260.0,0.0,12288.0,0.0,0.0,0.0,128200704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,700.0,0.0,0.0,7694086144.0,1667276800.0,10782482432.0,79803764736.0,0.0,0.0
1556186548.270,2.464,1.560,95.820,0.0,0.0,0.156,680.0,5194.0,0.0,84.0,0.0,84.0,5323.0,2421.0,0.0,84.0,0.0,84.0,0.0,84.0,5324.0,2418.0,19826.0,18914.0,0.0,0.0,0.0,0.0,0.0,385024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,7585615872.0,1667276800.0,10782318592.0,79912398848.0,0.0,0.0
1556186549.270,1.945,0.690,97.271,0.031,0.0,0.063,24605.0,19637.0,35769.0,10415.0,0.0,84.0,3077.0,12140.0,8429.0,14379.0,8365.0,14357.0,0.0,84.0,3140.0,12022.0,103947.0,115618.0,0.0,466944.0,0.0,0.0,0.0,290816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,22.0,0.0,0.0,7536324608.0,1667276800.0,10782433280.0,79961575424.0,0.0,0.0
1556186550.270,0.125,0.250,99.624,0.0,0.0,0.0,1383.0,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7535599616.0,1667276800.0,10782429184.0,79962304512.0,0.0,0.0
1556186551.270,0.094,0.188,99.718,0.0,0.0,0.0,701.0,1276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.0,3673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7535063040.0,1667276800.0,10782429184.0,79962841088.0,0.0,0.0
